term,partOfSpeech,meaning,exampleEn,exampleVi
open to,adjective phrase,cởi mở với/sẵn sàng tiếp nhận,Good managers are always open to constructive feedback.,Những người quản lý giỏi luôn cởi mở với những phản hồi mang tính xây dựng.
available to,adjective phrase,có sẵn cho,Scholarships are available to outstanding international applicants.,Các suất học bổng có sẵn cho những ứng viên quốc tế xuất sắc.
accessible to,adjective phrase,có thể tiếp cận đối với,Public facilities must be fully accessible to wheelchair users.,Các công trình công cộng phải có thể tiếp cận được đối với người dùng xe lăn.
attractive to,adjective phrase,hấp dẫn đối với,Low interest rates make real estate attractive to buyers.,Lãi suất thấp khiến bất động sản trở nên hấp dẫn đối với người mua.
appealing to,adjective phrase,hấp dẫn đối với,The new marketing campaign is appealing to younger crowds.,Chiến dịch tiếp thị mới rất hấp dẫn đối với giới trẻ.
sensitive to,adjective phrase,nhạy cảm với,Her pale skin is extremely sensitive to direct sunlight.,Làn da trắng của cô ấy cực kỳ nhạy cảm với ánh nắng trực tiếp.
vulnerable to,adjective phrase,dễ bị ảnh hưởng bởi,Small businesses are particularly vulnerable to sudden economic shocks.,Các doanh nghiệp nhỏ đặc biệt dễ bị ảnh hưởng bởi những cú sốc kinh tế bất ngờ.
relevant to,adjective phrase,liên quan đến,Please provide examples that are directly relevant to this case.,Vui lòng đưa ra những ví dụ liên quan trực tiếp đến trường hợp này.
dependent on,adjective phrase,phụ thuộc vào,Our project's deadline is heavily dependent on weather conditions.,Hạn chót dự án của chúng tôi phụ thuộc rất nhiều vào điều kiện thời tiết.
reliant on,adjective phrase,phụ thuộc vào,Elderly residents are reliant on community transport services.,Các cư dân cao tuổi phụ thuộc vào các dịch vụ vận tải công cộng.
keen on,adjective phrase,rất thích/hứng thú với,She is keen on exploring different cultures through travel.,Cô ấy rất thích khám phá những nền văn hóa khác nhau qua du lịch.
focused on,adjective phrase,tập trung vào,The seminar was primarily focused on renewable clean energy.,Buổi hội thảo chủ yếu tập trung vào nguồn năng lượng tái tạo sạch.
based on,adjective phrase,dựa trên,The historical movie is loosely based on true events.,Bộ phim lịch sử này được dựa trên một số sự kiện có thật.
intent on,adjective phrase,quyết tâm làm gì,She was intent on finishing her master's thesis this month.,Cô ấy quyết tâm hoàn thành luận văn thạc sĩ trong tháng này.
hard on,adjective phrase,khắt khe với,Don't be too hard on yourself after making an honest mistake.,Đừng quá khắt khe với chính mình sau khi mắc phải một lỗi lầm vô ý.
big on,adjective phrase,rất thích/coi trọng,Our CEO is big on punctuality and transparent communication.,Tổng giám đốc của chúng tôi rất coi trọng sự đúng giờ và giao tiếp minh bạch.
short on,adjective phrase,thiếu,The startup company is running short on operational capital.,Công ty khởi nghiệp đang dần thiếu hụt vốn hoạt động.
confident about,adjective phrase,tự tin về,She felt confident about answering all the interview questions.,Cô ấy cảm thấy tự tin về việc trả lời tất cả các câu hỏi phỏng vấn.
confident in,adjective phrase,tự tin vào,We have full reason to be confident in his abilities.,Chúng ta có đầy đủ lý do để tự tin vào năng lực của cậu ấy.
experienced in,adjective phrase,có kinh nghiệm trong,The lead technician is highly experienced in repairing turbine engines.,Kỹ thuật viên trưởng rất có kinh nghiệm trong việc sửa chữa động cơ tua-bin.
successful in,adjective phrase,thành công trong,She has been successful in establishing her own design firm.,Cô ấy đã thành công trong việc gây dựng công ty thiết kế của riêng mình.
involved in,adjective phrase,tham gia/liên quan đến,He was deeply involved in organizing the community campaign.,Anh ấy đã tham gia sâu vào việc tổ chức chiến dịch cộng đồng.
active in,adjective phrase,tích cực trong,She remains very active in various local environmental groups.,Cô ấy vẫn rất tích cực trong nhiều hội nhóm môi trường địa phương.
rich in,adjective phrase,giàu/chứa nhiều,Leafy green vegetables are rich in essential vitamins.,Các loại rau lá xanh chứa rất nhiều vitamin thiết yếu.
weak in,adjective phrase,yếu về,The student is strong in literature but weak in physics.,Học sinh này giỏi văn nhưng lại yếu về môn vật lý.
skilled in,adjective phrase,có kỹ năng trong,He is skilled in negotiating high-stake corporate contracts.,Anh ấy có kỹ năng rất tốt trong việc đàm phán các hợp đồng doanh nghiệp lớn.
lacking in,adjective phrase,thiếu về,Her initial proposal was somewhat lacking in concrete data.,Đề xuất ban đầu của cô ấy có phần thiếu về số liệu cụ thể.
engaged in,adjective phrase,tham gia vào,Scientists were actively engaged in analyzing new climate data.,Các nhà khoa học đã tích cực tham gia vào việc phân tích dữ liệu khí hậu mới.
absorbed in,adjective phrase,mải mê/chìm đắm trong,He was completely absorbed in his latest detective novel.,Anh ấy hoàn toàn chìm đắm trong cuốn tiểu thuyết trinh thám mới nhất.
close to,adjective phrase,gần gũi với,She has always maintained being very close to her family.,Cô ấy luôn duy trì mối quan hệ rất gần gũi với gia đình mình.
married to,adjective phrase,kết hôn với,She has been happily married to a doctor for ten years.,Cô ấy đã kết hôn hạnh phúc với một bác sĩ được mười năm.
engaged to,adjective phrase,đính hôn với,They were engaged to each other after three years of dating.,Họ đã đính hôn với nhau sau ba năm hẹn hò.
busy with,adjective phrase,bận với,I am currently busy with my final semester projects.,Tôi hiện đang rất bận với các dự án học kỳ cuối.
crowded with,adjective phrase,đông/chật kín bởi,The shopping mall was crowded with holiday bargain shoppers.,Trung tâm thương mại đã chật kín bởi những người đi mua sắm dịp lễ.
filled with,adjective phrase,đầy ắp,Her eyes were filled with tears of pure happiness.,Đôi mắt cô ấy đầy ắp những giọt nước mắt hạnh phúc vô bờ.
packed with,adjective phrase,đầy/chứa nhiều,The newly published guide is packed with practical travel tips.,Cuốn cẩm nang mới xuất bản chứa đầy những mẹo du lịch thực tế.
associated with,adjective phrase,gắn liền với,Obesity is closely associated with various cardiovascular illnesses.,Béo phì gắn liền chặt chẽ với nhiều căn bệnh tim mạch.
equipped with,adjective phrase,được trang bị với,All modern school labs are equipped with advanced sensors.,Mọi phòng thí nghiệm trường học hiện đại đều được trang bị cảm biến tiên tiến.
satisfied with,adjective phrase,hài lòng với,The board of directors was satisfied with our quarterly growth.,Hội đồng quản trị rất hài lòng với mức tăng trưởng hàng quý của chúng tôi.
disappointed in,adjective phrase,thất vọng về ai,His parents felt disappointed in him for lying repeatedly.,Bố mẹ cảm thấy thất vọng về cậu ấy vì đã liên tục nói dối.
disappointed about,adjective phrase,thất vọng về điều gì,We were disappointed about the cancellation of the exhibition.,Chúng tôi rất thất vọng về việc buổi triển lãm bị hủy bỏ.
angry about,adjective phrase,tức giận về điều gì,Citizens were visibly angry about the unexpected tax increase.,Người dân rõ ràng rất tức giận về việc bất ngờ tăng thuế.
annoyed about,adjective phrase,khó chịu về điều gì,He was annoyed about the persistent construction noise next door.,Anh ấy cảm thấy khó chịu về tiếng ồn xây dựng dai dẳng bên nhà hàng xóm.
furious about,adjective phrase,rất tức giận về,Commuters were furious about the unannounced train delays.,Hành khách rất tức giận về sự chậm trễ tàu hỏa mà không hề có thông báo.
happy about,adjective phrase,vui về,She was extraordinarily happy about receiving the job offer.,Cô ấy cực kỳ vui về việc nhận được lời mời làm việc.
pleased about,adjective phrase,vui/hài lòng về,The management team was pleased about the quarterly productivity.,Ban quản lý rất hài lòng về năng suất làm việc của quý vừa rồi.
sad about,adjective phrase,buồn về,He felt immensely sad about parting ways with longtime colleagues.,Anh ấy cảm thấy vô cùng buồn về việc chia tay những đồng nghiệp lâu năm.
anxious about,adjective phrase,lo lắng về,Patients are naturally anxious about undergoing major surgery.,Bệnh nhân thường tự nhiên cảm thấy lo lắng về việc trải qua một cuộc đại phẫu.
uncertain about,adjective phrase,không chắc chắn về,Investors are uncertain about upcoming market regulations.,Các nhà đầu tư không chắc chắn về những quy định thị trường sắp tới.
sure about,adjective phrase,chắc chắn về,Are you completely sure about making this risky investment?,Bạn có hoàn toàn chắc chắn về việc thực hiện khoản đầu tư mạo hiểm này?
confused about,adjective phrase,bối rối về,Many customers were confused about the complex pricing structure.,Nhiều khách hàng đã bối rối về cơ cấu tính giá phức tạp này.
doubtful about,adjective phrase,nghi ngờ về,Experts remain doubtful about the viability of the proposal.,Các chuyên gia vẫn nghi ngờ về tính khả thi của đề xuất đó.
hopeful about,adjective phrase,hy vọng/lạc quan về,Scientists are hopeful about finding an effective medical cure.,Các nhà khoa học rất hy vọng về việc tìm ra một phương pháp chữa trị hiệu quả.
passionate about,adjective phrase,đam mê về,She has always been passionate about wildlife preservation.,Cô ấy luôn luôn đam mê về công tác bảo tồn động vật hoang dã.
crazy about,adjective phrase,rất mê,Teenagers around the globe are crazy about this pop singer.,Thanh thiếu niên khắp thế giới đang rất mê ca sĩ nhạc pop này.
mad about,adjective phrase,cực kỳ thích,He is totally mad about fixing vintage sports cars.,Anh ấy cực kỳ thích việc sửa chữa xe thể thao cổ điển.
particular about,adjective phrase,khá kỹ tính về,She is exceptionally particular about keeping her kitchen spotless.,Cô ấy khá kỹ tính về việc giữ cho căn bếp của mình luôn sạch bóng.
selective about,adjective phrase,có chọn lọc/kén chọn về,Our publishing agency is very selective about accepting manuscripts.,Nhà xuất bản của chúng tôi rất kén chọn về việc tiếp nhận bản thảo.
relaxed about,adjective phrase,"thoải mái, không quá lo về",He seemed completely relaxed about his impending exams.,"Cậu ấy có vẻ hoàn toàn thoải mái, không quá lo về các kỳ thi sắp tới."
careless about,adjective phrase,bất cẩn/không quan tâm nhiều đến,He was criticized for being careless about project deadlines.,Anh ấy bị chỉ trích vì bất cẩn và không quan tâm nhiều đến hạn chót dự án.
serious about,adjective phrase,nghiêm túc với,You must show that you are serious about your career path.,Bạn phải chứng minh rằng mình hoàn toàn nghiêm túc với con đường sự nghiệp.
positive about,adjective phrase,tích cực/lạc quan về,The team members felt positive about the test outcomes.,Các thành viên trong nhóm cảm thấy rất lạc quan về kết quả kiểm tra.
negative about,adjective phrase,tiêu cực về,Try not to be excessively negative about unexpected challenges.,Cố gắng đừng quá tiêu cực về những thử thách bất ngờ phát sinh.
concerned with,adjective phrase,liên quan đến/tập trung vào,The scientific investigation is concerned with microplastics pollution.,Cuộc điều tra khoa học này liên quan đến tình trạng ô nhiễm vi nhựa.
pleased for,adjective phrase,vui thay cho ai,I was thrilled and genuinely pleased for my sister's promotion.,Tôi vô cùng phấn khởi và thật lòng vui thay cho việc chị gái được thăng chức.
happy for,adjective phrase,vui thay cho ai,We are all tremendously happy for you and your fiancé.,Tất cả chúng tôi đều rất vui thay cho bạn và vị hôn phu của bạn.
sorry about,adjective phrase,tiếc về,I am terribly sorry about missing your birthday party.,Tôi vô cùng tiếc về việc đã bỏ lỡ bữa tiệc sinh nhật của bạn.
sorry to,adjective phrase,tiếc khi/phải làm gì,I am sorry to inform you that your application was unsuccessful.,Tôi rất tiếc khi phải thông báo rằng đơn ứng tuyển của bạn đã không thành công.
grateful to,adjective phrase,biết ơn ai,The survivor was deeply grateful to the brave rescue team.,Người sống sót vô cùng biết ơn đội cứu hộ dũng cảm.
kind to,adjective phrase,tử tế với,We should always teach young children to be kind to animals.,Chúng ta nên luôn dạy trẻ nhỏ phải đối xử tử tế với động vật.
nice to,adjective phrase,tốt/tử tế với,She has always been remarkably nice to every newcomer.,Cô ấy luôn luôn đối xử rất tốt với mọi người mới gia nhập.
polite to,adjective phrase,lịch sự với,Staff members are trained to remain polite to all patrons.,Các nhân viên đều được đào tạo để luôn giữ thái độ lịch sự với khách hàng.
rude to,adjective phrase,thô lỗ với,It is inexcusable to be rude to service personnel.,Thật không thể bào chữa khi cư xử thô lỗ với nhân viên phục vụ.
mean to,adjective phrase,không tốt/khắc nghiệt với,Stop being unnecessarily mean to your younger sibling.,Đừng có đối xử khắc nghiệt không cần thiết với em của bạn nữa.
cruel to,adjective phrase,tàn nhẫn với,Laws impose severe penalties on anyone cruel to domestic pets.,Luật pháp áp dụng hình phạt rất nặng đối với bất kỳ ai tàn nhẫn với thú cưng.
fair to,adjective phrase,công bằng với,The judge's final verdict was completely fair to both disputing parties.,Phán quyết cuối cùng của quan tòa hoàn toàn công bằng với cả hai bên tranh chấp.
unfair to,adjective phrase,không công bằng với,Cutting the budget is deeply unfair to the research department.,Việc cắt giảm ngân sách là hết sức không công bằng với phòng nghiên cứu.
loyal to,adjective phrase,trung thành với,Dogs are renowned for remaining intensely loyal to their owners.,Chó nổi tiếng là loài vật vô cùng trung thành với chủ nhân của mình.
faithful to,adjective phrase,trung thành với,The soldier remained entirely faithful to his solemn oath.,Người lính vẫn giữ lòng trung thành tuyệt đối với lời thề trang nghiêm của mình.
experienced with,adjective phrase,có kinh nghiệm với,Our mechanics are seasoned and experienced with foreign vehicles.,Các thợ máy của chúng tôi rất lão luyện và có kinh nghiệm với các loại xe ngoại nhập.
related to,adjective phrase,có quan hệ/liên quan với,The rising crime rate is directly related to high unemployment.,Tỷ lệ tội phạm gia tăng có liên quan trực tiếp với tình trạng thất nghiệp cao.
equal to,adjective phrase,bằng/tương đương với,One mile is approximately equal to 1.6 kilometers.,"Một dặm xấp xỉ bằng 1,6 ki-lô-mét."
superior to,adjective phrase,vượt trội hơn,This modern smartphone model is distinctly superior to its predecessor.,Mẫu điện thoại thông minh này vượt trội hơn hẳn so với mẫu tiền nhiệm.
inferior to,adjective phrase,kém hơn,Synthetic leather is often regarded as inferior to genuine cowhide.,Da nhân tạo thường bị coi là kém hơn so với da bò thật.
similar in,adjective phrase,tương đồng về,Both proposals are remarkably similar in structural scope.,Cả hai bản đề xuất đều tương đồng đáng kể về phạm vi cấu trúc.
different in,adjective phrase,khác nhau về,The two identical twin brothers are quite different in personality.,Hai anh em sinh đôi cùng trứng lại khá khác nhau về tính cách.
identical to,adjective phrase,giống hệt với,His handwriting signature was virtually identical to the authentic sample.,Chữ ký của anh ta hầu như giống hệt với chữ ký mẫu nguyên bản.
typical of,adjective phrase,điển hình của,Sudden rainfall is typical of tropical coastal weather.,Những cơn mưa rào bất chợt là điều điển hình của thời tiết vùng duyên hải nhiệt đới.
characteristic of,adjective phrase,đặc trưng của,Patience and discipline are characteristic of accomplished marathoners.,Kiên nhẫn và kỷ luật là những nét đặc trưng của các vận động viên marathon cừ khôi.
representative of,adjective phrase,đại diện cho/tiêu biểu cho,The elected delegates are representative of regional diversity.,Các đại biểu được bầu là những người tiêu biểu cho sự đa dạng vùng miền.
independent of,adjective phrase,độc lập với/không phụ thuộc vào,Our audit team operates strictly independent of executive influence.,Đội ngũ kiểm toán của chúng tôi hoạt động hoàn toàn độc lập với ảnh hưởng của ban điều hành.
free from,adjective phrase,không bị/thoát khỏi,Organic farm produce is certified free from chemical pesticides.,Nông sản hữu cơ được chứng nhận là hoàn toàn không bị nhiễm thuốc trừ sâu hóa học.
full of,adjective phrase,đầy,The ancient palace was full of precious artistic treasures.,Cung điện cổ kính chứa đầy những kho báu nghệ thuật vô giá.
short of,adjective phrase,thiếu,The emergency relief clinic was running short of clean water.,Trạm y tế cứu trợ khẩn cấp đang bị thiếu nguồn nước sạch.
worthy of,adjective phrase,xứng đáng với,His heroic actions were truly worthy of national honors.,Những hành động anh hùng của anh ấy thực sự xứng đáng với những huân chương cấp quốc gia.
mindful of,adjective phrase,lưu tâm/ý thức về,Hikers must be mindful of changing alpine temperatures.,Người đi bộ đường dài phải lưu tâm về sự thay đổi nhiệt độ ở vùng núi cao.
respectful of,adjective phrase,tôn trọng,Tourists should be respectful of local religious traditions.,Khách du lịch nên có thái độ tôn trọng các truyền thống tôn giáo địa phương.
tolerant of,adjective phrase,khoan dung/chấp nhận,A mature democracy is inherently tolerant of dissenting viewpoints.,Một nền dân chủ trưởng thành vốn dĩ chấp nhận và khoan dung với các quan điểm trái chiều.
intolerant of,adjective phrase,không khoan dung với,The company administration is strictly intolerant of workplace bullying.,Ban quản lý công ty hoàn toàn không khoan dung với bất kỳ hành vi bắt nạt nơi làm việc nào.
critical of,adjective phrase,chỉ trích/không hài lòng với,The editorial was openly critical of current fiscal reforms.,Bài xã luận đã công khai chỉ trích và không hài lòng với những cải cách tài khóa hiện hành.
supportive of,adjective phrase,ủng hộ,Her family has always been wholeheartedly supportive of her career choices.,Gia đình cô ấy luôn luôn toàn tâm ủng hộ những lựa chọn nghề nghiệp của cô.
protective of,adjective phrase,bảo vệ/che chở cho,Lions are naturally protective of their young cubs.,Sư tử luôn có bản năng tự nhiên là bảo vệ và che chở cho đàn con non của chúng.
suspicious of,adjective phrase,nghi ngờ,The border authorities were suspicious of his fraudulent passport.,Nhà chức trách biên giới đã tỏ ra nghi ngờ hộ chiếu có dấu hiệu giả mạo của anh ta.
jealous of,adjective phrase,ghen tị với,He was secretly jealous of his colleague's rapid promotion.,Anh ấy thầm ghen tị với sự thăng tiến nhanh chóng của người đồng nghiệp.
envious of,adjective phrase,đố kỵ/ghen tị với,Many people were envious of her glamorous lifestyle.,Nhiều người cảm thấy ghen tị với lối sống hào nhoáng của cô ấy.
ashamed of,adjective phrase,xấu hổ về,He felt deeply ashamed of having told an outright lie.,Anh ấy cảm thấy vô cùng xấu hổ về việc đã nói dối một cách trắng trợn.
scared of,adjective phrase,sợ,My little sister has always been scared of spiders.,Em gái nhỏ của tôi lúc nào cũng sợ những con nhện.
frightened of,adjective phrase,sợ hãi,The small puppy was frightened of loud thunder.,Chú cún con sợ hãi trước những tiếng sấm sét đì đùng.
terrified of,adjective phrase,cực kỳ sợ,She is terrified of traveling by airplane in stormy weather.,Cô ấy cực kỳ sợ việc di chuyển bằng máy bay trong thời tiết giông bão.
certain of,adjective phrase,chắc chắn về,The lead detective was certain of the suspect's identity.,Thám tử trưởng đã hoàn toàn chắc chắn về danh tính của kẻ tình nghi.
